sentence_id,token_idx,token,pos,head_idx,head_token,rel
1,1,轻轻的,z,0,ROOT,_
1,2,我,r,0,ROOT,_
1,3,走,v,0,ROOT,_
1,4,了,u,0,ROOT,_
1,5,，,wp,0,ROOT,_
1,6,正,d,0,ROOT,_
1,7,如,v,0,ROOT,_
1,8,我,r,0,ROOT,_
1,9,轻轻的,z,0,ROOT,_
1,10,来,v,0,ROOT,_
1,11,；,wp,0,ROOT,_
2,1,我,r,0,ROOT,_
2,2,轻轻的,z,0,ROOT,_
2,3,招手,v,0,ROOT,_
2,4,，,wp,0,ROOT,_
2,5,作别,v,0,ROOT,_
2,6,西天,n,0,ROOT,_
2,7,的,u,0,ROOT,_
2,8,云彩,n,0,ROOT,_
2,9,。,wp,0,ROOT,_
3,1,那,r,0,ROOT,_
3,2,河畔,n,0,ROOT,_
3,3,的,u,0,ROOT,_
3,4,金,b,0,ROOT,_
3,5,柳,n,0,ROOT,_
3,6,，,wp,0,ROOT,_
3,7,是,v,0,ROOT,_
3,8,夕阳,n,0,ROOT,_
3,9,中,nd,0,ROOT,_
3,10,的,u,0,ROOT,_
3,11,新娘,n,0,ROOT,_
3,12,；,wp,0,ROOT,_
4,1,波光,n,0,ROOT,_
4,2,里,nd,0,ROOT,_
4,3,的,u,0,ROOT,_
4,4,艳影,n,0,ROOT,_
4,5,，,wp,0,ROOT,_
4,6,在,p,0,ROOT,_
4,7,我,r,0,ROOT,_
4,8,的,u,0,ROOT,_
4,9,心头,nl,0,ROOT,_
4,10,荡漾,v,0,ROOT,_
4,11,。,wp,0,ROOT,_
5,1,软泥,n,0,ROOT,_
5,2,上,nd,0,ROOT,_
5,3,的,u,0,ROOT,_
5,4,青荇,n,0,ROOT,_
5,5,，,wp,0,ROOT,_
5,6,油油的,z,0,ROOT,_
5,7,在,p,0,ROOT,_
5,8,水底,nl,0,ROOT,_
5,9,招摇,v,0,ROOT,_
5,10,；,wp,0,ROOT,_
6,1,在,p,0,ROOT,_
6,2,康河,ns,0,ROOT,_
6,3,的,u,0,ROOT,_
6,4,柔波,n,0,ROOT,_
6,5,里,nd,0,ROOT,_
6,6,，,wp,0,ROOT,_
6,7,我,r,0,ROOT,_
6,8,甘心,v,0,ROOT,_
6,9,做,v,0,ROOT,_
6,10,一,m,0,ROOT,_
6,11,条,q,0,ROOT,_
6,12,水草,n,0,ROOT,_
6,13,！,wp,0,ROOT,_
7,1,那,r,0,ROOT,_
7,2,榆荫,n,0,ROOT,_
7,3,下,nd,0,ROOT,_
7,4,的,u,0,ROOT,_
7,5,一,m,0,ROOT,_
7,6,潭,n,0,ROOT,_
7,7,，,wp,0,ROOT,_
7,8,不,d,0,ROOT,_
7,9,是,v,0,ROOT,_
7,10,清泉,n,0,ROOT,_
7,11,，,wp,0,ROOT,_
8,1,是,v,0,ROOT,_
8,2,天上,nl,0,ROOT,_
8,3,虹,n,0,ROOT,_
8,4,揉,v,0,ROOT,_
8,5,碎,a,0,ROOT,_
8,6,在,p,0,ROOT,_
8,7,浮藻,n,0,ROOT,_
8,8,间,nd,0,ROOT,_
8,9,，,wp,0,ROOT,_
8,10,沉淀,v,0,ROOT,_
8,11,着,u,0,ROOT,_
8,12,彩虹,n,0,ROOT,_
8,13,似的,u,0,ROOT,_
8,14,梦,n,0,ROOT,_
8,15,。,wp,0,ROOT,_
9,1,寻,v,0,ROOT,_
9,2,梦,n,0,ROOT,_
9,3,？,wp,0,ROOT,_
9,4,撑,v,0,ROOT,_
9,5,一,m,0,ROOT,_
9,6,支,q,0,ROOT,_
9,7,长篙,n,0,ROOT,_
9,8,，,wp,0,ROOT,_
9,9,向,p,0,ROOT,_
9,10,青草,n,0,ROOT,_
9,11,更,d,0,ROOT,_
9,12,青,a,0,ROOT,_
9,13,处,n,0,ROOT,_
9,14,漫,v,0,ROOT,_
9,15,溯,v,0,ROOT,_
9,16,，,wp,0,ROOT,_
10,1,满载,v,0,ROOT,_
10,2,一,m,0,ROOT,_
10,3,船,q,0,ROOT,_
10,4,星辉,n,0,ROOT,_
10,5,，,wp,0,ROOT,_
10,6,在,p,0,ROOT,_
10,7,星辉斑斓,i,0,ROOT,_
10,8,里,nd,0,ROOT,_
10,9,放,v,0,ROOT,_
10,10,歌,n,0,ROOT,_
10,11,。,wp,0,ROOT,_
11,1,但,c,0,ROOT,_
11,2,我,r,0,ROOT,_
11,3,不,d,0,ROOT,_
11,4,能,v,0,ROOT,_
11,5,放,v,0,ROOT,_
11,6,歌,n,0,ROOT,_
11,7,，,wp,0,ROOT,_
11,8,悄悄,d,0,ROOT,_
11,9,是,v,0,ROOT,_
11,10,别离,v,0,ROOT,_
11,11,的,u,0,ROOT,_
11,12,笙箫,n,0,ROOT,_
11,13,；,wp,0,ROOT,_
12,1,夏虫,n,0,ROOT,_
12,2,也,d,0,ROOT,_
12,3,为,p,0,ROOT,_
12,4,我,r,0,ROOT,_
12,5,沉默,a,0,ROOT,_
12,6,，,wp,0,ROOT,_
12,7,沉默,a,0,ROOT,_
12,8,是,v,0,ROOT,_
12,9,今晚,nt,0,ROOT,_
12,10,的,u,0,ROOT,_
12,11,康桥,ns,0,ROOT,_
12,12,。,wp,0,ROOT,_
13,1,悄悄的,d,0,ROOT,_
13,2,我,r,0,ROOT,_
13,3,走,v,0,ROOT,_
13,4,了,u,0,ROOT,_
13,5,，,wp,0,ROOT,_
13,6,正,d,0,ROOT,_
13,7,如,v,0,ROOT,_
13,8,我,r,0,ROOT,_
13,9,悄悄,d,0,ROOT,_
13,10,的,u,0,ROOT,_
13,11,来,v,0,ROOT,_
13,12,；,wp,0,ROOT,_
14,1,我,r,0,ROOT,_
14,2,挥,v,0,ROOT,_
14,3,一,m,0,ROOT,_
14,4,挥,v,0,ROOT,_
14,5,衣袖,n,0,ROOT,_
14,6,，,wp,0,ROOT,_
14,7,不,d,0,ROOT,_
14,8,带走,v,0,ROOT,_
14,9,一,m,0,ROOT,_
14,10,片,q,0,ROOT,_
14,11,云彩,n,0,ROOT,_
14,12,。,wp,0,ROOT,_
